fips,county,state,lat,long,population,combined_key
1001,Autauga,Alabama,32.53952745,-86.64408227,55869,"Autauga, Alabama"
1003,Baldwin,Alabama,30.72774991,-87.72207058,223234,"Baldwin, Alabama"
1005,Barbour,Alabama,31.868263,-85.3871286,24686,"Barbour, Alabama"
1007,Bibb,Alabama,32.99642064,-87.1251146,22394,"Bibb, Alabama"
1009,Blount,Alabama,33.98210918,-86.56790593,57826,"Blount, Alabama"
1011,Bullock,Alabama,32.10030533,-85.71265535,10101,"Bullock, Alabama"
1013,Butler,Alabama,31.75300095,-86.68057478,19448,"Butler, Alabama"
1015,Calhoun,Alabama,33.77483727,-85.82630386,113605,"Calhoun, Alabama"
1017,Chambers,Alabama,32.91360079,-85.39072749,33254,"Chambers, Alabama"
1019,Cherokee,Alabama,34.17805983,-85.60638968,26196,"Cherokee, Alabama"
1021,Chilton,Alabama,32.85044126,-86.7173256,44428,"Chilton, Alabama"
1023,Choctaw,Alabama,32.02227341,-88.2656443,12589,"Choctaw, Alabama"
1025,Clarke,Alabama,31.68099859,-87.83548597,23622,"Clarke, Alabama"
1027,Clay,Alabama,33.26984193,-85.85836077,13235,"Clay, Alabama"
1029,Cleburne,Alabama,33.67679204,-85.52005899,14910,"Cleburne, Alabama"
1031,Coffee,Alabama,31.39932826,-85.98901039,52342,"Coffee, Alabama"
1033,Colbert,Alabama,34.69847452,-87.80168544,55241,"Colbert, Alabama"
1035,Conecuh,Alabama,31.43401703,-86.99320044,12067,"Conecuh, Alabama"
1037,Coosa,Alabama,32.93690146,-86.24847739,10663,"Coosa, Alabama"
1039,Covington,Alabama,31.2477854,-86.45050893,37049,"Covington, Alabama"
1041,Crenshaw,Alabama,31.72941803,-86.31593104,13772,"Crenshaw, Alabama"
1043,Cullman,Alabama,34.13020303,-86.86888037,83768,"Cullman, Alabama"
1045,Dale,Alabama,31.43037123,-85.61095742,49172,"Dale, Alabama"
1047,Dallas,Alabama,32.32688101,-87.1086671,37196,"Dallas, Alabama"
1049,DeKalb,Alabama,34.45946862,-85.80782906,71513,"DeKalb, Alabama"
1051,Elmore,Alabama,32.59785413,-86.14415284,81209,"Elmore, Alabama"
1053,Escambia,Alabama,31.1256789,-87.15918694,36633,"Escambia, Alabama"
1055,Etowah,Alabama,34.04567266,-86.04051873,102268,"Etowah, Alabama"
1057,Fayette,Alabama,33.72076938,-87.73886638,16302,"Fayette, Alabama"
1059,Franklin,Alabama,34.44235334,-87.84289505,31362,"Franklin, Alabama"
1061,Geneva,Alabama,31.09389027,-85.83572839,26271,"Geneva, Alabama"
1063,Greene,Alabama,32.85504247,-87.95684022,8111,"Greene, Alabama"
1065,Hale,Alabama,32.76039258,-87.63284988,14651,"Hale, Alabama"
1067,Henry,Alabama,31.51148016,-85.24267944,17205,"Henry, Alabama"
1069,Houston,Alabama,31.15197924,-85.29939599,105882,"Houston, Alabama"
1071,Jackson,Alabama,34.78144169,-85.99750489,51626,"Jackson, Alabama"
1073,Jefferson,Alabama,33.55554728,-86.895063,658573,"Jefferson, Alabama"
1075,Lamar,Alabama,33.77995024,-88.09668032,13805,"Lamar, Alabama"
1077,Lauderdale,Alabama,34.90171875,-87.65624729,92729,"Lauderdale, Alabama"
1079,Lawrence,Alabama,34.52041498,-87.31069453,32924,"Lawrence, Alabama"
1081,Lee,Alabama,32.60154883,-85.35132246,164542,"Lee, Alabama"
1083,Limestone,Alabama,34.81185586,-86.98310072,98915,"Limestone, Alabama"
1085,Lowndes,Alabama,32.1597283,-86.65158371,9726,"Lowndes, Alabama"
1087,Macon,Alabama,32.38759944,-85.69267724,18068,"Macon, Alabama"
1089,Madison,Alabama,34.76327133,-86.55069633,372909,"Madison, Alabama"
1091,Marengo,Alabama,32.24767634,-87.78796182,18863,"Marengo, Alabama"
1093,Marion,Alabama,34.13697363,-87.88704173,29709,"Marion, Alabama"
1095,Marshall,Alabama,34.36975964,-86.30486727,96774,"Marshall, Alabama"
1097,Mobile,Alabama,30.78472347,-88.20842409,413210,"Mobile, Alabama"
1099,Monroe,Alabama,31.56729412,-87.36995001,20733,"Monroe, Alabama"
1101,Montgomery,Alabama,32.2206831,-86.20969272,226486,"Montgomery, Alabama"
1103,Morgan,Alabama,34.45500589,-86.85475946,119679,"Morgan, Alabama"
1105,Perry,Alabama,32.64048341,-87.29770589,8923,"Perry, Alabama"
1107,Pickens,Alabama,33.28094866,-88.08818103,19930,"Pickens, Alabama"
1109,Pike,Alabama,31.80396383,-85.9408295,33114,"Pike, Alabama"
1111,Randolph,Alabama,33.29526734,-85.45708831,22722,"Randolph, Alabama"
1113,Russell,Alabama,32.28725256,-85.18415324,57961,"Russell, Alabama"
1115,St. Clair,Alabama,33.71902176,-86.31029372,89512,"St. Clair, Alabama"
1117,Shelby,Alabama,33.26879845,-86.66232561,217702,"Shelby, Alabama"
1119,Sumter,Alabama,32.59117397,-88.19916205,12427,"Sumter, Alabama"
1121,Talladega,Alabama,33.37823223,-86.16886178,79978,"Talladega, Alabama"
1123,Tallapoosa,Alabama,32.86698258,-85.79833053,40367,"Tallapoosa, Alabama"
1125,Tuscaloosa,Alabama,33.28726072,-87.52556818,209355,"Tuscaloosa, Alabama"
1127,Walker,Alabama,33.80270512,-87.30027177,63521,"Walker, Alabama"
1129,Washington,Alabama,31.4092794,-88.20689944,16326,"Washington, Alabama"
1131,Wilcox,Alabama,31.98773215,-87.30891118,10373,"Wilcox, Alabama"
1133,Winston,Alabama,34.15030532,-87.37325922,23629,"Winston, Alabama"
4001,Apache,Arizona,35.39465006,-109.4892383,71887,"Apache, Arizona"
4003,Cochise,Arizona,31.87934684,-109.7516088,125922,"Cochise, Arizona"
4005,Coconino,Arizona,35.83883429,-111.7707178,143476,"Coconino, Arizona"
4007,Gila,Arizona,33.80190085,-110.8132779,54018,"Gila, Arizona"
4009,Graham,Arizona,32.93166885,-109.8882178,38837,"Graham, Arizona"
4011,Greenlee,Arizona,33.21498827,-109.2405279,9498,"Greenlee, Arizona"
4012,La Paz,Arizona,33.72854224,-113.9810029,21108,"La Paz, Arizona"
4013,Maricopa,Arizona,33.34835867,-112.4918154,4485414,"Maricopa, Arizona"
4015,Mohave,Arizona,35.70471703,-113.7577902,212181,"Mohave, Arizona"
4017,Navajo,Arizona,35.3997715,-110.3218983,110924,"Navajo, Arizona"
4019,Pima,Arizona,32.0971334,-111.7890033,1047279,"Pima, Arizona"
4021,Pinal,Arizona,32.90525627,-111.3449483,462789,"Pinal, Arizona"
4023,Santa Cruz,Arizona,31.52508998,-110.8479088,46498,"Santa Cruz, Arizona"
4025,Yavapai,Arizona,34.59933926,-112.5538588,235099,"Yavapai, Arizona"
4027,Yuma,Arizona,32.76895712,-113.9066674,213787,"Yuma, Arizona"
5001,Arkansas,Arkansas,34.29145151,-91.37277296,17486,"Arkansas, Arkansas"
5003,Ashley,Arkansas,33.19153461,-91.7698471,19657,"Ashley, Arkansas"
5005,Baxter,Arkansas,36.28784385,-92.33782872,41932,"Baxter, Arkansas"
5007,Benton,Arkansas,36.33644656,-94.25680817,279141,"Benton, Arkansas"
5009,Boone,Arkansas,36.3084504,-93.09374925,37432,"Boone, Arkansas"
5011,Bradley,Arkansas,33.46755808,-92.15980837,10763,"Bradley, Arkansas"
5013,Calhoun,Arkansas,33.55598792,-92.49974403,5189,"Calhoun, Arkansas"
5015,Carroll,Arkansas,36.3403856,-93.54270261,28380,"Carroll, Arkansas"
5017,Chicot,Arkansas,33.26458973,-91.29539209,10118,"Chicot, Arkansas"
5019,Clark,Arkansas,34.04613432,-93.17484713,22320,"Clark, Arkansas"
5021,Clay,Arkansas,36.36826212,-90.4148172,14551,"Clay, Arkansas"
5023,Cleburne,Arkansas,35.53864922,-92.02640019,24919,"Cleburne, Arkansas"
5025,Cleveland,Arkansas,33.89723187,-92.18537045,7956,"Cleveland, Arkansas"
5027,Columbia,Arkansas,33.21230701,-93.22642793,23457,"Columbia, Arkansas"
5029,Conway,Arkansas,35.26205537,-92.70506566,20846,"Conway, Arkansas"
5031,Craighead,Arkansas,35.83018283,-90.63235729,110332,"Craighead, Arkansas"
5033,Crawford,Arkansas,35.58928601,-94.2446814,63257,"Crawford, Arkansas"
5035,Crittenden,Arkansas,35.21247318,-90.30839406,47955,"Crittenden, Arkansas"
5037,Cross,Arkansas,35.29631396,-90.77185818,16419,"Cross, Arkansas"
5039,Dallas,Arkansas,33.97042763,-92.65167437,7009,"Dallas, Arkansas"
5041,Desha,Arkansas,33.83011025,-91.25500948,11361,"Desha, Arkansas"
5043,Drew,Arkansas,33.59035001,-91.71777921,18219,"Drew, Arkansas"
5045,Faulkner,Arkansas,35.14719007,-92.33717519,126007,"Faulkner, Arkansas"
5047,Franklin,Arkansas,35.51202821,-93.89299569,17715,"Franklin, Arkansas"
5049,Fulton,Arkansas,36.38177105,-91.81729127,12477,"Fulton, Arkansas"
5051,Garland,Arkansas,34.57692074,-93.14921604,99386,"Garland, Arkansas"
5053,Grant,Arkansas,34.29017991,-92.42320562,18265,"Grant, Arkansas"
5055,Greene,Arkansas,36.1173546,-90.55832668,45325,"Greene, Arkansas"
5057,Hempstead,Arkansas,33.73325583,-93.66935133,21532,"Hempstead, Arkansas"
5059,Hot Spring,Arkansas,34.31709259,-92.95396325,33771,"Hot Spring, Arkansas"
5061,Howard,Arkansas,34.09007427,-93.9934871,13202,"Howard, Arkansas"
5063,Independence,Arkansas,35.74242707,-91.57001641,37825,"Independence, Arkansas"
5065,Izard,Arkansas,36.09604046,-91.90847954,13629,"Izard, Arkansas"
5067,Jackson,Arkansas,35.59802983,-91.21494602,16719,"Jackson, Arkansas"
5069,Jefferson,Arkansas,34.26767081,-91.92619839,66824,"Jefferson, Arkansas"
5071,Johnson,Arkansas,35.56759135,-93.46036368,26578,"Johnson, Arkansas"
5073,Lafayette,Arkansas,33.24116713,-93.60677071,6624,"Lafayette, Arkansas"
5075,Lawrence,Arkansas,36.04188196,-91.10867198,16406,"Lawrence, Arkansas"
5077,Lee,Arkansas,34.78498904,-90.78383866,8857,"Lee, Arkansas"
5079,Lincoln,Arkansas,33.95317155,-91.74002806,13024,"Lincoln, Arkansas"
5081,Little River,Arkansas,33.70375665,-94.23468591,12259,"Little River, Arkansas"
5083,Logan,Arkansas,35.21413234,-93.71951016,21466,"Logan, Arkansas"
5085,Lonoke,Arkansas,34.75392199,-91.88742357,73309,"Lonoke, Arkansas"
5087,Madison,Arkansas,36.01038185,-93.72524943,16576,"Madison, Arkansas"
5089,Marion,Arkansas,36.26844485,-92.68451899,16694,"Marion, Arkansas"
5091,Miller,Arkansas,33.31403423,-93.89285258,43257,"Miller, Arkansas"
5093,Mississippi,Arkansas,35.76271485,-90.0519437,40651,"Mississippi, Arkansas"
5095,Monroe,Arkansas,34.6815935,-91.20540287,6701,"Monroe, Arkansas"
5097,Montgomery,Arkansas,34.53704874,-93.65824478,8986,"Montgomery, Arkansas"
5099,Nevada,Arkansas,33.66340119,-93.30632432,8252,"Nevada, Arkansas"
5101,Newton,Arkansas,35.91947491,-93.21612969,7753,"Newton, Arkansas"
5103,Ouachita,Arkansas,33.58839816,-92.87795984,23382,"Ouachita, Arkansas"
5105,Perry,Arkansas,34.9459153,-92.94372564,10455,"Perry, Arkansas"
5107,Phillips,Arkansas,34.43268455,-90.84800154,17782,"Phillips, Arkansas"
5109,Pike,Arkansas,34.16250414,-93.65789349,10718,"Pike, Arkansas"
5111,Poinsett,Arkansas,35.57433534,-90.66268713,23528,"Poinsett, Arkansas"
5113,Polk,Arkansas,34.48254879,-94.22728802,19964,"Polk, Arkansas"
5115,Pope,Arkansas,35.44871474,-93.03212219,64072,"Pope, Arkansas"
5117,Prairie,Arkansas,34.83624419,-91.55162157,8062,"Prairie, Arkansas"
5119,Pulaski,Arkansas,34.77054088,-92.31355101,391911,"Pulaski, Arkansas"
5121,Randolph,Arkansas,36.3415714,-91.02455531,17958,"Randolph, Arkansas"
5123,St. Francis,Arkansas,35.02201976,-90.74828138,24994,"St. Francis, Arkansas"
5125,Saline,Arkansas,34.64916145,-92.67583224,122437,"Saline, Arkansas"
5127,Scott,Arkansas,34.85588887,-94.0632176,10281,"Scott, Arkansas"
5129,Searcy,Arkansas,35.9109364,-92.69936482,7881,"Searcy, Arkansas"
5131,Sebastian,Arkansas,35.19605503,-94.27162713,127827,"Sebastian, Arkansas"
5133,Sevier,Arkansas,33.99780401,-94.2424869,17007,"Sevier, Arkansas"
5135,Sharp,Arkansas,36.16258158,-91.47819342,17442,"Sharp, Arkansas"
5137,Stone,Arkansas,35.86251946,-92.15684085,12506,"Stone, Arkansas"
5139,Union,Arkansas,33.16887091,-92.59746952,38682,"Union, Arkansas"
